year,state_name,fips,county_name,total_votes,unemployment_rate,NPOPCHG,INTERNATIONALMIG,DOMESTICMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,ALAND,AWATER,adjusted_voter_turnout,gop_pct_avg,adjusted_gop_pct_estimate,adjusted_gop_pct_bo_avg,BA_MALE_WA,IA_MALE_WA,AA_MALE_WA,NA_MALE_WA,TOM_MALE_WA,NHIA_MALE_WA,H_FEMALE_WA,HBA_MALE_WA,image_name,per_gop,per_dem
2016,Alabama,1001,Autauga County,24661,5.108333333333333,381,7,228,9,455,11.42588116,8.9451430951,2.4807380648,0.1267530398,4.1285275824,1539609015,25749942,0.59319,0.7311594451908681,0.70808,0.32591000000000003,2057,49,130,15,142,39,324,29,Autauga_01001,0.734357893029,0.239568549532
2016,Alabama,1003,Baldwin County,94090,5.366666666666667,4873,243,4046,423,2341,11.03206041,10.250986651,0.7810737581,1.1788877219,19.628723138,4117584019,1133130502,0.59936,0.7630887445697658,0.7292400000000001,0.34014000000000005,3640,322,342,39,441,266,1837,75,Baldwin_01003,0.773514719949,0.195653098098
2016,Alabama,1005,Barbour County,10390,8.341666666666667,-305,-5,-248,9,3186,9.6869914808,12.022590217,-2.335598736,-0.191442519,-9.495548961,2291818680,50864677,0.59192,0.49330825395385736,0.55045,0.21989,3072,53,30,18,52,21,183,24,Barbour_01005,0.522714148219,0.466602502406
2016,Alabama,1007,Bibb County,8748,6.466666666666666,82,18,34,1,2252,11.768870012,10.485797717,1.2830722945,0.7963897,1.5042916556,1612481559,9287974,0.59178,0.7263495830315208,0.70489,0.32377,1764,14,9,15,25,12,107,9,Bibb_01007,0.769661636946,0.214220393233
2016,Alabama,1009,Blount County,25384,5.408333333333334,28,38,-65,14,489,11.492459698,10.781764604,0.7106950945,0.6586930144,-1.126711735,1670041875,15077458,0.59326,0.8524266690569704,0.78845,0.37997,209,64,21,18,84,40,927,33,Blount_01009,0.89851875197,0.0846990230066
2016,Alabama,1011,Bullock County,4701,6.833333333333333,-93,9,-101,-4,1653,10.952586828,10.664360859,0.2882259692,0.8646779075,-9.703607628,1613059136,6055023,0.5914200000000001,0.24597052323444932,0.38653,0.10964,1642,17,5,22,23,6,181,36,Bullock_01011,0.242288874708,0.750904062965
2016,Alabama,1013,Butler County,8685,6.941666666666666,-128,8,-127,-4,333,11.763533048,12.012760443,-0.249227395,0.3987638321,-6.330375835,2011976232,2727475,0.59177,0.5503194942064281,0.58823,0.24530000000000002,1355,12,59,1,11,11,45,15,Butler_01013,0.563154864709,0.427864133564
2016,Alabama,1015,Calhoun County,47376,6.566666666666666,-674,27,-462,-35,2776,10.761387758,12.536103281,-1.774715524,0.2348888193,-4.019208686,1569245419,16568579,0.59521,0.6557396406189472,0.6581,0.29229,4194,132,193,22,250,90,739,78,Calhoun_01015,0.692396994259,0.278558763931
2016,Alabama,1017,Chambers County,13778,5.491666666666667,-200,18,-155,-6,458,12.34422414,14.023510002,-1.679285862,0.5303007984,-4.566479097,1545009121,17048126,0.59222,0.5306588578887824,0.5752,0.23654,2450,15,133,10,47,7,111,39,Chambers_01017,0.566337639715,0.418275511685
2016,Alabama,1019,Cherokee County,10503,5.075,-1,5,136,-19,290,8.0853627723,12.86661095,-4.781248178,0.194359682,5.2865833511,1434128031,119806782,0.59193,0.7582300078528712,0.72602,0.33798,196,19,9,4,54,15,64,0,Cherokee_01019,0.838712748738,0.1451013996
2016,Alabama,1021,Chilton County,18255,5.491666666666667,132,13,63,-1,393,12.307692308,11.008547009,1.2991452991,0.2962962963,1.4358974359,1794482896,20586310,0.59262,0.7913889373405288,0.748,0.35276,797,43,52,33,65,19,622,49,Chilton_01021,0.825417693783,0.159353601753
2016,Alabama,1023,Choctaw County,7268,8.541666666666666,-208,-1,-174,-2,129,10.613117508,12.980071772,-2.366954264,-0.076353363,-13.28548523,2365955057,19059247,0.59165,0.5280238002936499,0.57346,0.23536,885,7,4,0,6,7,14,3,Choctaw_01023,0.564391854706,0.427765547606
2016,Alabama,1025,Clarke County,12936,10.891666666666666,-334,5,-326,3,280,12.093326275,12.7448186,-0.651492325,0.2035913514,-13.27415611,3207609336,36542657,0.5921500000000001,0.5475119658993933,0.5863700000000001,0.24405000000000002,1841,12,27,1,24,11,61,9,Clarke_01025,0.549551638837,0.441558441558
2016,Alabama,1027,Clay County,6572,5.958333333333333,-3,-1,43,21,255,10.078926891,14.970170823,-4.891243932,-0.074109757,3.1867195316,1564252455,5284573,0.59158,0.7269775490445599,0.7053100000000001,0.32405,351,8,5,0,24,8,70,7,Clay_01027,0.795800365186,0.187766281193
2016,Alabama,1029,Cleburne County,6532,6.0,-72,-1,-51,11,178,11.430481283,13.502673797,-2.072192513,-0.06684492,-3.409090909,1450663941,2354898,0.59158,0.8198060884304382,0.7668300000000001,0.36542,90,10,2,9,21,9,48,1,Cleburne_01029,0.878444580527,0.10471524801
2016,Alabama,1031,Coffee County,20513,5.908333333333334,163,84,33,-19,600,11.770571616,10.49966272,1.2709088954,1.6424053417,0.64523067,1758565487,3907876,0.59282,0.7415186684832651,0.71494,0.33053,1775,181,123,72,172,134,669,54,Coffee_01031,0.771461999708,0.204455711013
2016,Alabama,1033,Colbert County,24626,6.966666666666666,-79,13,32,-45,474,10.727023067,12.183096645,-1.456073578,0.2396070444,0.5898019556,1534878514,80030048,0.59319,0.594611700930206,0.61759,0.26505,1542,72,50,5,107,59,223,18,Colbert_01033,0.678875984732,0.2962722326
2016,Alabama,1035,Conecuh County,6543,8.433333333333334,-202,2,-123,-5,45,9.2029449424,15.284891165,-6.081946223,0.1600512164,-9.843149808,2201896058,6643480,0.59158,0.49476523301409503,0.55141,0.22053999999999999,911,8,3,0,22,8,42,17,Conecuh_01035,0.521626165368,0.469050894085
2016,Alabama,1037,Coosa County,5223,5.983333333333333,-106,0,-89,-7,257,8.5574572127,9.4978371262,-0.940379913,0.0,-8.36938123,1685891528,39946563,0.59146,0.5812626548256045,0.6087400000000001,0.2591,664,19,1,6,16,10,45,6,Coosa_01037,0.646371816963,0.340800306337
2016,Alabama,1039,Covington County,15818,6.783333333333334,-203,2,-110,-15,575,11.714745936,13.844699743,-2.129953807,0.0532488452,-2.928686484,2668869460,34526774,0.59241,0.7881112419471296,0.7458199999999999,0.3513,822,52,47,0,60,46,109,14,Covington_01039,0.835883171071,0.15039828044
2016,Alabama,1041,Crenshaw County,6252,5.883333333333333,37,10,65,10,132,10.435783943,13.890388283,-3.45460434,0.7197092375,4.6781100435,1576887783,5376390,0.59156,0.6806785690915893,0.67462,0.30341,567,13,60,2,26,11,27,4,Crenshaw_01041,0.721529110685,0.265994881638
2016,Alabama,1043,Cullman County,37278,4.991666666666666,613,28,560,37,990,12.134194208,12.280242684,-0.146048476,0.3407797772,6.8155955431,1903376541,52118974,0.59431,0.830033657050895,0.77361,0.36998,235,104,86,14,145,85,611,22,Cullman_01043,0.878105048554,0.100059016042
2016,Alabama,1045,Dale County,18617,5.808333333333334,-144,46,-274,-11,917,12.92141669,10.994360826,1.9270558643,0.9331007343,-5.558034809,1453310172,4016457,0.59265,0.7125506176426256,0.69575,0.31762,1791,78,109,18,176,56,578,56,Dale_01045,0.741150561315,0.236772842026
2016,Alabama,1047,Dallas County,18730,9.241666666666667,-885,-3,-793,-9,856,11.495531576,13.473257438,-1.977725862,-0.07416472,-19.60420761,2534807219,39134809,0.59266,0.3130560588275593,0.43099,0.13954,4383,25,52,5,27,16,59,22,Dallas_01047,0.30880939669,0.684783769354
2016,Alabama,1049,DeKalb County,26086,6.083333333333333,-96,56,-150,-27,782,11.219484693,10.867113943,0.3523707504,0.7893104809,-2.114224502,2012664315,4121538,0.59332,0.7579588351994275,0.72584,0.33786,283,321,94,122,232,157,1827,60,DeKalb_01049,0.834892279384,0.141148508779
2016,Alabama,1051,Elmore County,36905,4.75,561,52,283,42,5391,11.997276692,9.7401203408,2.257156351,0.6378920122,3.4716046051,1601876534,99850740,0.5942799999999999,0.7455106299417343,0.71759,0.33231,3889,98,136,22,145,73,584,36,Elmore_01051,0.748380978187,0.228586912343
2016,Alabama,1053,Escambia County,15213,6.658333333333334,-99,2,-85,2,3280,11.647144464,12.123618556,-0.476474092,0.0529415657,-2.250016544,2447747107,20872955,0.59235,0.6317365860201125,0.6421899999999999,0.28159,3266,271,21,7,103,267,123,17,Escambia_01053,0.67586932229,0.308814829422
2016,Alabama,1055,Etowah County,43474,5.925,-309,27,44,-31,2085,11.176175665,14.573810949,-3.397635285,0.2628543057,0.4283551648,1386379575,34562865,0.5948599999999999,0.6844070537476387,0.6770999999999999,0.30507,2855,172,228,82,195,95,668,34,Etowah_01055,0.739108432626,0.238073331186
2016,Alabama,1057,Fayette County,8196,6.766666666666667,-177,-1,-98,-14,290,10.219724067,14.067149599,-3.847425531,-0.060116024,-5.891370345,1625693285,4330881,0.59173,0.7506208885596729,0.72098,0.33459000000000005,346,9,6,0,23,7,43,4,Fayette_01057,0.818081991215,0.165690580771
2016,Alabama,1059,Franklin County,11955,5.9,86,88,33,-20,272,11.492797214,11.96770619,-0.474908976,2.7861326579,1.0447997467,1641578183,32907210,0.59206,0.6925581830595354,0.6825,0.30870000000000003,346,144,29,12,88,31,996,80,Franklin_01059,0.791802593057,0.183772480134
