year,state_name,fips,county_name,total_votes,unemployment_rate,NPOPCHG,INTERNATIONALMIG,DOMESTICMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,ALAND,AWATER,adjusted_voter_turnout_pct,gop_pct_avg,adjusted_gop_pct_estimate,adjusted_gop_pct_bo_avg,BA_MALE_WA,IA_MALE_WA,AA_MALE_WA,NA_MALE_WA,TOM_MALE_WA,NHIA_MALE_WA,H_FEMALE_WA,HBA_MALE_WA,image_name,per_gop,per_dem
2024,Alabama,1001,Autauga County,28139,2.0545454545454547,616,34,491,-2,484,11.893260486,10.344138322,1.5491221641,0.5663457374,8.1786987374,1539631461,25677536,0.59149,0.7210169510979673,0.58396,0.53435,2421,49,154,21,173,39,422,68,Autauga_01001,0.7266427378371655,0.2640108035111411
2024,Alabama,1003,Baldwin County,120973,2.1,6976,291,6804,-10,3493,10.123230634,10.559197501,-0.435966867,1.1639115427,27.213931741,4117725048,1132887203,0.59972,0.7635854257978707,0.60375,0.5659000000000001,4319,432,564,36,628,303,2721,100,Baldwin_01003,0.786489547254346,0.2046985691021963
2024,Alabama,1005,Barbour County,9766,4.081818181818182,-115,13,-45,0,2702,10.834939637,14.203104393,-3.368164756,0.5275438774,-1.826113422,2292160151,50523213,0.58987,0.5277394640858837,0.4941,0.39110999999999996,2783,52,18,24,58,19,202,26,Barbour_01005,0.5711652672537375,0.4218718001228753
2024,Alabama,1007,Bibb County,9230,2.3000000000000003,-118,1,-69,0,1894,10.945409769,13.225703471,-2.280293702,0.045605874,-3.146805309,1612188713,9572302,0.58982,0.7741474199938182,0.60866,0.57372,1536,26,10,21,40,23,144,10,Bibb_01007,0.8193932827735645,0.1751895991332611
2024,Alabama,1009,Blount County,28024,1.9909090909090907,300,24,358,-4,616,11.698454731,13.005731908,-1.307277176,0.4022391312,6.0000670399,1670259100,14860281,0.59148,0.8945319865370231,0.66462,0.66294,276,59,43,21,95,44,1075,38,Blount_01009,0.9017627747644876,0.0916714244932914
2024,Alabama,1011,Bullock County,4104,2.2545454545454544,-246,6,-219,-2,1615,10.179640719,13.273453094,-3.093812375,0.5988023952,-21.85628743,1613083468,6030667,0.58936,0.245233285605206,0.36277000000000004,0.18173999999999998,1635,15,5,19,22,4,126,23,Bullock_01011,0.2677875243664717,0.7268518518518519
2024,Alabama,1013,Butler County,8459,2.7363636363636363,-286,8,-207,0,285,11.443994602,16.140350877,-4.696356275,0.4318488529,-11.17408907,2012002548,2701199,0.58975,0.5682609235553902,0.51294,0.42113999999999996,1271,17,76,1,15,16,55,12,Butler_01013,0.6108287031564015,0.3839697363754581
2024,Alabama,1015,Calhoun County,48435,2.5727272727272728,649,29,923,0,5936,11.593004578,14.202722547,-2.60971797,0.2497749872,7.9497349371,1569248377,16534047,0.59329,0.6875586784065945,0.5684,0.50955,4523,114,180,22,282,77,930,70,Calhoun_01015,0.7193351914937545,0.2719108082997832
2024,Alabama,1017,Chambers County,14215,2.2454545454545456,-85,55,-26,-1,860,11.664199991,14.975894964,-3.311694972,1.6118869335,-0.761982914,1545068570,16988729,0.59026,0.5684674997505268,0.51304,0.42129,2275,23,102,11,50,10,214,48,Chambers_01017,0.6123109391487865,0.3800211044671122
2024,Alabama,1019,Cherokee County,12965,2.2363636363636363,313,14,482,-4,278,9.0162488485,16.033242517,-7.016993669,0.5488151473,18.8949215,1433620850,120310807,0.59015,0.8472464491312144,0.64264,0.6279,244,21,11,5,61,15,81,0,Cherokee_01019,0.8748168145005785,0.1195526417277285
2024,Alabama,1021,Chilton County,19708,2.0545454545454547,583,49,577,-3,388,11.877025109,12.743961248,-0.866936139,1.0619967707,12.50555381,1794438908,20592054,0.59075,0.8269954327449043,0.63322,0.61289,945,85,40,42,70,30,727,72,Chilton_01021,0.8575705297341181,0.1368479805155266
2024,Alabama,1023,Choctaw County,6633,3.763636363636364,-179,2,-88,-1,66,8.7509622007,16.205485557,-7.454523356,0.1620548556,-7.130413645,2365900084,19114321,0.5895900000000001,0.5693227657319038,0.51344,0.42192999999999997,715,8,6,0,8,8,30,5,Choctaw_01023,0.6172169455751545,0.378561736770692
2024,Alabama,1025,Clarke County,11927,4.618181818181818,-237,0,-165,1,372,13.048028323,16.298902273,-3.250873951,0.0,-7.347865779,3207494083,36657889,0.59006,0.5527591973659369,0.50574,0.40965,1687,25,20,0,25,24,47,10,Clarke_01025,0.5832145552108661,0.4122579022386182
2024,Alabama,1027,Clay County,6709,2.190909090909091,-72,-3,2,0,258,11.239131971,16.257863858,-5.018731887,-0.212059094,0.1413727292,1564255426,5281616,0.5895900000000001,0.8000213705376749,0.62068,0.5929,345,9,9,0,34,9,87,14,Clay_01027,0.8485616336264719,0.1469667610672231
2024,Alabama,1029,Cleburne County,7633,2.1,267,-1,322,-2,174,11.415304247,14.768952952,-3.353648705,-0.064493244,20.766824675,1450666453,2352217,0.58968,0.8857258341871537,0.66053,0.65641,98,8,14,9,29,7,43,4,Cleburne_01029,0.9149744530328836,0.079261103104939
2024,Alabama,1031,Coffee County,22214,2.3454545454545457,803,68,695,-6,761,12.23717676,11.404469466,0.8327072943,1.230958609,12.581121077,1758565928,3907189,0.59097,0.7615435781872918,0.6028,0.56438,1907,163,189,98,211,118,1018,103,Coffee_01031,0.7858557666336544,0.2064013685063473
2024,Alabama,1033,Colbert County,26940,2.727272727272727,368,47,489,-3,407,10.932155319,13.76832769,-2.836172371,0.8078794025,8.4053835708,1535740663,79162005,0.5913900000000001,0.6803751711567735,0.56506,0.5042300000000001,1611,97,70,5,149,72,379,29,Colbert_01033,0.7280623608017818,0.2632516703786191
2024,Alabama,1035,Conecuh County,6043,3.309090909090909,-50,0,20,1,128,11.965354049,18.305205822,-6.339851772,0.0,1.7858737387,2202213383,6426488,0.58954,0.526875628404169,0.49369999999999997,0.39047,781,13,14,1,24,11,58,22,Conecuh_01035,0.5664405096806222,0.4269402614595399
2024,Alabama,1037,Coosa County,5253,2.327272727272728,-39,-1,49,-2,310,8.6512758202,16.913730255,-8.262454435,-0.097205346,4.7630619684,1685846963,39991153,0.58947,0.6532334669228643,0.55244,0.48411000000000004,560,16,4,5,20,9,48,9,Coosa_01037,0.7138777841233581,0.2807919284218542
2024,Alabama,1039,Covington County,17054,2.527272727272728,349,-1,589,-4,778,11.064787241,17.285421216,-6.220633975,-0.026470783,15.591291112,2669165560,34194851,0.59051,0.8345708519685482,0.6367499999999999,0.6185,825,61,42,2,72,52,126,14,Covington_01039,0.8598569250615692,0.1353934560806848
2024,Alabama,1041,Crenshaw County,6469,2.381818181818182,53,27,95,-1,153,12.008107385,17.209071093,-5.200963708,2.0650885311,7.2660522391,1576952763,5388562,0.58957,0.7275987943592884,0.58702,0.53923,515,17,54,3,33,17,36,7,Crenshaw_01041,0.7718349049312104,0.2246096769206987
2024,Alabama,1043,Cullman County,43010,1.9,1353,16,1471,-3,1257,11.112388397,12.546598131,-1.434209734,0.1751706545,16.104752051,1902965941,52529994,0.59281,0.876132085756592,0.65607,0.6493000000000001,354,137,126,22,183,116,822,39,Cullman_01043,0.8990699837247151,0.0937688909555917
2024,Alabama,1045,Dale County,19095,2.3363636363636364,376,49,257,1,757,13.928305457,12.539500433,1.3888050239,0.986252843,5.1727955236,1453276164,4051341,0.59069,0.7305543829024481,0.58839,0.54142,1889,93,124,19,200,62,713,61,Dale_01045,0.7579471065724012,0.2345116522649908
2024,Alabama,1047,Dallas County,15523,5.0181818181818185,-564,37,-458,1,476,11.743078991,15.694021456,-3.950942464,1.0151727165,-12.566192,2534919602,39124772,0.59037,0.3086409386696743,0.39225,0.22874,3838,22,35,5,33,15,57,23,Dallas_01047,0.3342137473426528,0.6592153578560845
2024,Alabama,1049,DeKalb County,29580,2.127272727272727,487,100,495,2,848,11.54502907,13.065931103,-1.520902033,1.382638212,6.8440591493,2012620262,4107136,0.59162,0.8362467673464562,0.63752,0.61975,361,338,103,129,246,170,2147,83,DeKalb_01049,0.866497633536173,0.1270114942528735
2024,Alabama,1051,Elmore County,41443,1.981818181818182,841,29,822,-3,5429,10.38652307,10.464283136,-0.077760066,0.3221488439,9.1312534367,1601948960,99777799,0.59267,0.7384113178514236,0.59204,0.54724,4429,101,150,21,208,74,718,43,Elmore_01051,0.7561228675530246,0.2356007045821972
2024,Alabama,1053,Escambia County,14902,2.890909090909091,-78,2,74,0,2067,11.694947673,15.902942864,-4.207995191,0.0546492882,2.0220236631,2448595164,20024887,0.59032,0.6762020768134329,0.56312,0.5011399999999999,2688,261,35,5,137,255,146,20,Escambia_01053,0.7291638706213931,0.265467722453362
2024,Alabama,1055,Etowah County,45780,2.609090909090909,338,69,733,-4,1592,11.35128842,15.81418814,-4.462899721,0.6694349581,7.1115336852,1385916764,35022972,0.59305,0.7384749162623462,0.59207,0.5472899999999999,2887,175,207,92,244,96,911,48,Etowah_01055,0.7747924858016602,0.2177588466579292
2024,Alabama,1057,Fayette County,8351,2.590909090909091,-115,0,-18,-1,303,11.232799775,17.223626322,-5.990826547,0.0,-1.123279978,1625693253,4330881,0.5897399999999999,0.8232186662632963,0.63147,0.61009,343,9,7,0,35,6,67,7,Fayette_01057,0.856663872590109,0.1366303436714166
2024,Alabama,1059,Franklin County,12062,2.409090909090909,-108,54,-144,1,424,13.498242089,14.094676042,-0.596433953,1.6951280763,-4.520341537,1641945980,32539346,0.59007,0.8055725231366901,0.62326,0.59701,380,108,24,9,92,20,1120,92,Franklin_01059,0.8625435251202123,0.1298292157187862
2024,Alabama,1061,Geneva County,12383,2.2454545454545456,228,17,369,-1,266,10.939941951,16.782019796,-5.842077845,0.6325816775,13.73074347,1487908432,11567409,0.5901,0.8573507341592042,0.6473399999999999,0.63539,483,64,27,5,68,41,249,19,Geneva_01061,0.8821771783897279,0.1121699103609787
