fips,ALAND,AWATER,image_name
1001,1539634184,25674812,Autauga_01001
1003,4117656199,1132956041,Baldwin_01003
1005,2292160149,50523213,Barbour_01005
1007,1612188717,9572303,Bibb_01007
1009,1670259090,14860281,Blount_01009
1011,1613083467,6030667,Bullock_01011
1013,2012002546,2701199,Butler_01013
1015,1569246127,16536293,Calhoun_01015
1017,1545085601,16971700,Chambers_01017
1019,1433620850,120310807,Cherokee_01019
1021,1794438835,20592116,Chilton_01021
1023,2365900081,19114321,Choctaw_01023
1025,3207494086,36657889,Clarke_01025
1027,1564255426,5281616,Clay_01027
1029,1450666453,2352217,Cleburne_01029
1031,1758565928,3907189,Coffee_01031
1033,1535742270,79160396,Colbert_01033
1035,2202213384,6426488,Conecuh_01035
1037,1685846963,39991153,Coosa_01037
1039,2669165738,34194671,Covington_01039
1041,1576952763,5388562,Crenshaw_01041
1043,1902962812,52533095,Cullman_01043
1045,1453276166,4051341,Dale_01045
1047,2534919608,39124778,Dallas_01047
1049,2012620262,4107136,DeKalb_01049
1051,1601945705,99781059,Elmore_01051
1053,2448595161,20024887,Escambia_01053
1055,1385916770,35022972,Etowah_01055
1057,1625693254,4330881,Fayette_01057
1059,1641845708,32639621,Franklin_01059
1061,1487908432,11567409,Geneva_01061
1063,1675782057,33416141,Greene_01063
1065,1667926655,32403804,Hale_01065
1067,1454959642,16953809,Henry_01067
1069,1501742239,4795415,Houston_01069
1071,2792044654,126334707,Jackson_01071
1073,2878852142,32681784,Jefferson_01073
1075,1566544684,1600679,Lamar_01075
1077,1730148679,133606345,Lauderdale_01077
1079,1788864348,68682286,Lawrence_01079
1081,1573528082,21515484,Lee_01081
1083,1450296914,122310594,Limestone_01083
1085,1854651814,23271259,Lowndes_01085
1087,1576435594,11765508,Macon_01087
1089,2076136600,28786030,Madison_01089
1091,2530155136,14951685,Marengo_01091
1093,1922660061,3180617,Marion_01093
1095,1465531833,148495463,Marshall_01095
1097,3184064139,1074011171,Mobile_01097
1099,2656469672,22609681,Monroe_01099
1101,2034045843,37716728,Montgomery_01101
1103,1501337447,50196644,Morgan_01103
1105,1863936200,10902207,Perry_01105
1107,2282835039,22621093,Pickens_01107
1109,1740645369,2339145,Pike_01109
1111,1503618358,9283013,Randolph_01111
1113,1660652494,15564412,Russell_01113
1115,1635759732,56431785,St._Clair_01115
1117,2034279155,62288767,Shelby_01117
1119,2340898913,24634883,Sumter_01119
1121,1908346572,60874403,Talladega_01121
1123,1855798005,128790974,Tallapoosa_01123
1125,3420981170,78702314,Tuscaloosa_01125
