year,fips,ALAND,AWATER,image_name
2016,1001,1539609015,25749942,Autauga_01001
2016,1003,4117584019,1133130502,Baldwin_01003
2016,1005,2291818680,50864677,Barbour_01005
2016,1007,1612481559,9287974,Bibb_01007
2016,1009,1670041875,15077458,Blount_01009
2016,1011,1613059136,6055023,Bullock_01011
2016,1013,2011976232,2727475,Butler_01013
2016,1015,1569245419,16568579,Calhoun_01015
2016,1017,1545009121,17048126,Chambers_01017
2016,1019,1434128031,119806782,Cherokee_01019
2016,1021,1794482896,20586310,Chilton_01021
2016,1023,2365955057,19059247,Choctaw_01023
2016,1025,3207609336,36542657,Clarke_01025
2016,1027,1564252455,5284573,Clay_01027
2016,1029,1450663941,2354898,Cleburne_01029
2016,1031,1758565487,3907876,Coffee_01031
2016,1033,1534878514,80030048,Colbert_01033
2016,1035,2201896058,6643480,Conecuh_01035
2016,1037,1685891528,39946563,Coosa_01037
2016,1039,2668869460,34526774,Covington_01039
2016,1041,1576887783,5376390,Crenshaw_01041
2016,1043,1903376541,52118974,Cullman_01043
2016,1045,1453310172,4016457,Dale_01045
2016,1047,2534807219,39134809,Dallas_01047
2016,1049,2012664315,4121538,DeKalb_01049
2016,1051,1601876534,99850740,Elmore_01051
2016,1053,2447747107,20872955,Escambia_01053
2016,1055,1386379575,34562865,Etowah_01055
2016,1057,1625693285,4330881,Fayette_01057
2016,1059,1641578183,32907210,Franklin_01059
2016,1061,1487710770,11765077,Geneva_01061
2016,1063,1675993711,33244743,Greene_01063
2016,1065,1667804584,32525874,Hale_01065
2016,1067,1454926615,16986823,Henry_01067
2016,1069,1501846955,4691549,Houston_01069
2016,1071,2791663803,126657151,Jackson_01071
2016,1073,2878224117,32446239,Jefferson_01073
2016,1075,1566544639,1600679,Lamar_01075
2016,1077,1729334080,134420924,Lauderdale_01077
2016,1079,1788846347,68687359,Lawrence_01079
2016,1081,1573552337,21488937,Lee_01081
2016,1083,1450236460,122371613,Limestone_01083
2016,1085,1854202171,23721045,Lowndes_01085
2016,1087,1577064957,11136122,Macon_01087
2016,1089,2076157081,28765532,Madison_01089
2016,1091,2530112315,14994544,Marengo_01091
2016,1093,1922527478,3313159,Marion_01093
2016,1095,1465524098,148503229,Marshall_01095
2016,1097,3184131335,1073840930,Mobile_01097
2016,1099,2656518199,22609677,Monroe_01099
2016,1101,2031491982,40270068,Montgomery_01101
2016,1103,1500534814,51006061,Morgan_01103
