Voter turnout rates in the United States, 2002-2024 (total ballots cast expressed as a percentage of eligible voters)
State	2024	2022	2020	2018	2016	2014	2012	2010	2008	2006	2004	2002
Minnesota	76.4%	60.4%	79.8%	64.2%	74.7%	50.60%	76.40%	55.80%	78.10%	60.50%	78.80%	NA
Wisconsin	76.4%	59.8%	75.3%	61.4%	N/A	56.90%	65.80%	52.40%	72.70%	53.70%	75.30%	NA
Michigan	74.7%	58.9%	73.5%	57.7%	65.7%	43.20%	65.40%	45.10%	69.70%	52.80%	67.10%	45.00%
New Hampshire	74.4%	56.3%	74.9%	54.0%	72.5%	48.30%	70.90%	46.10%	72.50%	42.90%	71.50%	48.70%
Colorado	73.1%	58.3%	77.6%	61.4%	71.9%	54.70%	70.60%	51.70%	71.60%	48.10%	67.30%	46.60%
Maine	72.3%	60.8%	75.8%	59.9%	72.9%	58.70%	69.30%	55.90%	71.80%	N/A	74.90%	NA
Pennsylvania	71.2%	54.4%	70.1%	51.7%	N/A	36.50%	N/A	42.40%	64.20%	N/A	NA	NA
Virginia	71.1%	47.6%	72.8%	54.4%	N/A	36.80%	66.60%	39.10%	67.60%	44.50%	61.10%	32.30%
Vermont	70.9%	56.0%	72.2%	55.7%	64.8%	40.80%	61.20%	49.80%	67.70%	55.00%	66.70%	49.40%
Iowa	70.8%	51.9%	72.9%	57.9%	69.1%	50.30%	70.60%	50.70%	69.70%	49.20%	70.60%	48.70%
North Carolina	70.3%	47.5%	72.8%	49.0%	64.9%	41.20%	65.40%	39.80%	66.10%	32.50%	58.70%	NA
Washington	70.1%	55.3%	76.2%	58.3%	65.7%	43.10%	65.80%	54.30%	67.30%	47.30%	67.50%	43.50%
Oregon	70.0%	62.3%	76.2%	61.2%	68.0%	53.40%	64.20%	53.90%	68.30%	53.20%	72.60%	51.80%
Montana	68.5%	53.2%	72.8%	61.3%	64.3%	47.50%	63.50%	48.40%	67.10%	57.10%	65.20%	49.70%
Georgia	68.3%	51.9%	68.2%	54.1%	59.8%	38.60%	59.30%	40.60%	62.70%	35.10%	56.40%	NA
Nebraska	68.0%	48.4%	69.5%	51.5%	64.0%	41.40%	61.10%	38.70%	63.70%	48.80%	64.10%	NA
Maryland	67.9%	45.8%	69.9%	54.2%	67.0%	42.00%	67.30%	46.70%	67.80%	47.20%	63.10%	46.80%
Massachusetts	67.8%	48.8%	71.0%	54.6%	68.3%	44.70%	66.20%	49.40%	67.30%	49.30%	64.60%	49.80%
Connecticut	67.1%	48.6%	70.7%	54.8%	64.9%	42.50%	61.40%	45.90%	N/A	47.70%	66.20%	45.10%
Delaware	67.0%	42.8%	70.1%	51.2%	64.4%	34.90%	N/A	49.00%	65.80%	42.90%	64.50%	NA
Florida	66.7%	48.1%	72.3%	54.3%	65.6%	43.30%	63.30%	42.20%	66.60%	40.10%	64.70%	45.90%
Nevada	65.8%	45.8%	66.1%	46.5%	57.4%	29.60%	56.50%	41.40%	57.20%	37.10%	55.40%	36.80%
Ohio	65.7%	47.1%	67.0%	50.9%	64.2%	36.20%	65.10%	46.20%	67.80%	49.50%	67.90%	40.30%
South Dakota	64.5%	53.1%	66.4%	53.1%	60.0%	44.70%	60.10%	53.90%	65.60%	58.80%	69.40%	61.20%
Missouri	64.3%	49.6%	66.0%	53.3%	64.2%	33.60%	N/A	45.70%	68.20%	51.20%	66.10%	NA
Utah	64.2%	46.8%	69.2%	50.6%	57.9%	30.30%	56.10%	36.80%	57.10%	35.00%	59.80%	37.80%
New Jersey	63.8%	41.0%	72.0%	53.5%	65.8%	32.50%	62.20%	37.70%	67.70%	40.60%	64.20%	38.90%
Arizona	63.6%	49.3%	68.6%	47.4%	56.1%	34.10%	53.00%	41.60%	57.40%	39.60%	54.80%	36.70%
District of Columbia	63.6%	40.6%	65.8%	43.7%	60.7%	35.70%	61.60%	29.60%	61.70%	28.70%	54.90%	NA
Idaho	63.6%	42.6%	67.6%	48.6%	60.9%	39.80%	61.00%	42.90%	64.80%	46.20%	64.80%	45.20%
North Dakota	63.1%	41.7%	63.4%	58.7%	61.7%	45.00%	60.40%	46.60%	63.60%	45.40%	65.50%	49.80%
Rhode Island	62.9%	43.6%	63.1%	47.5%	59.7%	42.40%	N/A	45.40%	62.30%	52.10%	58.90%	45.40%
California	62.5%	42.9%	68.6%	49.3%	58.2%	30.70%	55.70%	45.90%	61.70%	41.20%	59.60%	37.30%
South Carolina	62.1%	42.8%	65.9%	44.5%	57.3%	35.20%	56.80%	40.30%	58.20%	35.40%	53.20%	NA
Kentucky	62.0%	44.8%	64.8%	48.7%	59.6%	44.90%	56.20%	44.30%	59.00%	44.20%	59.40%	NA
Kansas	61.6%	47.6%	65.7%	51.1%	59.7%	43.30%	58.20%	42.60%	63.50%	44.30%	62.90%	44.90%
Wyoming	61.3%	45.6%	64.3%	47.9%	60.2%	39.70%	59.00%	46.00%	63.10%	51.80%	66.30%	50.80%
Louisiana	60.8%	42.0%	64.2%	45.1%	60.6%	44.90%	60.80%	40.00%	61.80%	31.40%	61.50%	40.10%
New Mexico	59.7%	46.3%	61.0%	46.8%	54.9%	N/A	54.80%	44.70%	61.20%	43.10%	60.40%	40.00%
Illinois	59.6%	45.8%	66.1%	51.5%	63.1%	40.80%	59.30%	43.10%	64.30%	41.40%	62.40%	42.80%
Alabama	58.9%	37.3%	61.8%	47.0%	59.1%	33.20%	N/A	43.30%	61.00%	N/A	57.40%	NA
Indiana	58.7%	37.2%	61.5%	46.5%	57.9%	28.70%	56.00%	38.10%	60.30%	37.70%	55.80%	NA
New York	57.9%	42.5%	61.1%	45.7%	57.2%	29.00%	53.50%	36.30%	59.60%	36.50%	58.50%	37.00%
Tennessee	57.6%	33.3%	59.7%	44.7%	51.8%	29.80%	52.30%	35.10%	57.40%	42.10%	56.80%	NA
Mississippi	57.5%	32.5%	60.4%	43.8%	N/A	N/A	N/A	N/A	N/A	N/A	NA	NA
Alaska	56.9%	50.2%	68.4%	54.8%	61.5%	54.80%	58.90%	52.90%	68.30%	51.20%	69.60%	54.50%
Texas	56.6%	41.8%	60.8%	45.6%	51.4%	N/A	N/A	32.70%	N/A	N/A	NA	34.50%
West Virginia	55.5%	35.4%	57.2%	42.5%	N/A	32.00%	N/A	37.20%	51.20%	33.80%	55.10%	31.50%
Arkansas	53.5%	41.5%	56.5%	41.3%	53.2%	40.30%	51.10%	37.90%	52.90%	38.90%	54.40%	41.70%
Oklahoma	53.3%	39.6%	55.3%	42.1%	N/A	30.00%	N/A	39.10%	56.30%	N/A	NA	NA
Hawaii	50.3%	40.5%	55.7%	39.5%	43.2%	36.50%	44.50%	40.30%	49.00%	38.40%	48.50%	44.20%
United States	63.7%	46.2%	66.6%	50.0%	60.1%	36.70%	58.60%	41.8%	62.2%	41.30%	60.70%	40.50%
